=== INDICATOR VERIFICATION REPORT ===

Total files processed: 319

=== PROCESSED PAIRS ===
             symbol  rows  indicators                                  date_range
73          ACEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
74          SYSUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
75         DOGSUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
76          TRUUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
77         API3USDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
78          WOOUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
79         DOGEUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
80          XMRUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
81        RONINUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
82          C98USDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
83         IOTXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
84      BIGTIMEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
85        MANTAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
86         STRKUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
87       POPCATUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
88          ALTUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
89         PNUTUSDT   326          39  2024-11-11 10:00:00 to 2024-11-24 23:00:00
90          GTCUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
91         POWRUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
92          JTOUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
93          ONTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
94         HBARUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
95          ACHUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
96          TAOUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
97           OPUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
98         ORDIUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
99         FIDAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
100         BCHUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
101         ZENUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
102     MOODENGUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
